line_number,lyric_line
1,﻿[Chorus]
2,"Sing every hour (Every hour, 'til the power)"
3,"Every minute (Every minute, of the Lord)"
4,"Every second (Every second, comes)"
5,Sing each and every millisecond (Down)
6,"We need you (We need you, sing 'til the power)"
7,"We need you (We need you, of the Lord)"
8,We need you (Comes)
9,"Oh, we need you (Down)"
10,Sing 'til the power of the Lord comes down
11,Sing 'til the power of the Lord comes down (Let everything that have breath praise God)
12,"Sing 'til the power of the Lord comes down ('Cause when we sing the glory of the Lord comes down, down)"
13,"Sing 'til the power of the Lord comes down (Praising the Lord, praise God in the sanctuary)"
14,"Sing 'til the power of the Lord comes down (For His mighty works and excellent grace and His mighty power, yeah)"
15,Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)
16,Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)
17,"Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)"
18,"Sing every hour (Every hour, 'til the power)"
19,"Every minute (Every minute, of the Lord)"
20,"Every second (Every second, comes)"
21,Sing each and every millisecond (Down)
22,"We need you (We need you, sing 'til the power)"
23,"We need you (We need you, of the Lord)"
24,We need you (Comes)
25,"Oh, we need you (Down)"
26,Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)
27,Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)
28,"Sing every hour (Every hour, 'til the power)"
29,"Every minute (Every minute, of the Lord)"
30,"Every second (Every second, comes)"
31,Sing each and every millisecond (Down)
32,"We need you (We need you, sing 'til the power)"
33,"We need you (We need you, of the Lord)"
34,We need you (Comes)
35,"Oh, we need you (Down)"
36,"God is King, we the soldiers"
37,Ultrabeam out the solar
38,When I get to Heaven's gates
39,I ain’t gotta peek over
40,Keepin' perfect composure
41,When I scream at the chauffeur
42,"I ain't mean, I’m just focused"
43,"I ain't mean, I'm just focused"
44,Pour the lean out slower
45,Got us clean out of soda
46,"Before the flood, people judge"
47,They did the same thing to Noah
48,Everybody wanted Yandhi
49,Then Jesus Christ did the laundry
50,They say the week start on Monday
51,But the strong start on Sunday
52,Won't be in bondage to any man
53,John 8:33
54,We the descendants of Abraham
55,Ye should be made free
56,John 8:36
57,To whom the son set free is free indeed
58,He saved a wretch like me
59,"Hallelujah, hallelujah, hallelujah, hallelujah"
60,"Hallelujah, He is wonderful"
61,"If you woke, then wake up"
62,"With Judas, kiss and make up"
63,Even with the bitter cup
64,Forgave my brothers and drank up
65,Did everything but gave up
66,"Stab my back, I can't front"
67,"Still we win, we prayed up"
68,"Even when we die, we raise up (Hallelujah)"
69,"Ain't no wantin', no, we need it"
70,The powers that be done been greedy
71,We need ours by this evening
72,No white flag or no treaty
73,"We got the product, we got the tools"
74,"We got the minds, we got the youth"
75,"We goin' wild, we on the loose"
76,"People is lying, we are the truth"
77,Everything old shall now become new
78,"The leaves’ll be green, bearing the fruit"
79,"Love God and our neighbor, as written in Luke"
80,The army of God and we are the truth
81,"Wah, woo, wah, woo, woo, woo, woo, woo"
82,"Woo, woo, woo, woo, woo, woo, woo, woo"
83,"Wah, woo, wah, woo, woo, woo, woo"
84,"Father, I stretch"
85,Stretch my hands to You
86,"Lifelike, this is what your life like, try to live your life right"
87,"People really know you, push your buttons like typewrite"
88,"This is like a movie, but it's really very lifelike"
89,"Every single night, right, every single fight, right?"
90,I was looking at the 'Gram and I don't even like likes
91,"I was screamin' at my dad, he told me, ""It ain't Christ-like"""
92,I was screamin' at the referee just like Mike
