line_number,shakespeare_line
1,"From fairest creatures we desire increase,"
2,"That thereby beauty’s rose might never die,"
3,"But as the riper should by time decease,"
4,His tender heir might bear his memory:
5,"But thou contracted to thine own bright eyes,"
6,"Feed’st thy light’s flame with self-substantial fuel,"
7,"Making a famine where abundance lies,"
8,"Thyself thy foe, to thy sweet self too cruel:"
9,"Thou that art now the world’s fresh ornament,"
10,"And only herald to the gaudy spring,"
11,"Within thine own bud buriest thy content,"
12,"And, tender churl, mak’st waste in niggarding:"
13,"Pity the world, or else this glutton be,"
14,"To eat the world’s due, by the grave and thee."
15,"When forty winters shall besiege thy brow,"
16,"And dig deep trenches in thy beauty’s field,"
17,"Thy youth’s proud livery so gazed on now,"
18,Will be a tattered weed of small worth held:
19,"Then being asked, where all thy beauty lies,"
20,Where all the treasure of thy lusty days;
21,"To say, within thine own deep sunken eyes,"
22,"Were an all-eating shame, and thriftless praise."
23,"How much more praise deserv’d thy beauty’s use,"
24,If thou couldst answer ‘This fair child of mine
25,"Shall sum my count, and make my old excuse,’"
26,Proving his beauty by succession thine.
27,"This were to be new made when thou art old,"
28,And see thy blood warm when thou feel’st it cold.
29,"Look in thy glass and tell the face thou viewest,"
30,"Now is the time that face should form another,"
31,"Whose fresh repair if now thou not renewest,"
32,"Thou dost beguile the world, unbless some mother."
33,For where is she so fair whose uneared womb
34,Disdains the tillage of thy husbandry?
35,Or who is he so fond will be the tomb
36,Of his self-love to stop posterity?
37,Thou art thy mother’s glass and she in thee
38,"Calls back the lovely April of her prime,"
39,"So thou through windows of thine age shalt see,"
40,Despite of wrinkles this thy golden time.
41,"But if thou live remembered not to be,"
42,Die single and thine image dies with thee.
43,"Unthrifty loveliness why dost thou spend,"
44,Upon thyself thy beauty’s legacy?
45,"Nature’s bequest gives nothing but doth lend,"
46,And being frank she lends to those are free:
47,"Then beauteous niggard why dost thou abuse,"
48,The bounteous largess given thee to give?
49,Profitless usurer why dost thou use
50,So great a sum of sums yet canst not live?
51,"For having traffic with thyself alone,"
52,"Thou of thyself thy sweet self dost deceive,"
53,"Then how when nature calls thee to be gone,"
54,What acceptable audit canst thou leave?
55,"Thy unused beauty must be tombed with thee,"
56,Which used lives th’ executor to be.
57,Those hours that with gentle work did frame
58,The lovely gaze where every eye doth dwell
59,"Will play the tyrants to the very same,"
60,And that unfair which fairly doth excel:
61,For never-resting time leads summer on
62,"To hideous winter and confounds him there,"
63,"Sap checked with frost and lusty leaves quite gone,"
64,Beauty o’er-snowed and bareness every where:
65,Then were not summer’s distillation left
66,"A liquid prisoner pent in walls of glass,"
67,"Beauty’s effect with beauty were bereft,"
68,Nor it nor no remembrance what it was.
69,"But flowers distilled though they with winter meet,"
